2025-12-21 22:00:43.155 | INFO | __main__:199 | Booting polymarket 15m live crypto price collector
2025-12-21 22:27:57.726 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:57.726445+00:00', '1766330877646', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4935.25', '0.03', '95.4']
2025-12-21 22:27:57.727 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:57.727050+00:00', '1766330877646', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '95.4', '0.99', '4935.25']
2025-12-21 22:27:57.753 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:57.753149+00:00', '1766330877673', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', None, None, None, None]
2025-12-21 22:27:58.042 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.042798+00:00', '1766330877961', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4691.5', '0.03', '22.48']
2025-12-21 22:27:58.044 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.044048+00:00', '1766330877961', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4691.5']
2025-12-21 22:27:58.071 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.071773+00:00', '1766330877993', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:27:58.078 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.078230+00:00', '1766330877999', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', '0.47', '78', '0.48', '100']
2025-12-21 22:27:58.079 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.079127+00:00', '1766330877999', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', '0.52', '100', '0.53', '78']
2025-12-21 22:27:58.105 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.105849+00:00', '1766330878025', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', None, None, None, None]
2025-12-21 22:27:58.325 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.325738+00:00', '1766330878240', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4686.5', '0.03', '22.48']
2025-12-21 22:27:58.326 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.326485+00:00', '1766330878240', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4686.5']
2025-12-21 22:27:58.355 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.355512+00:00', '1766330878274', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:27:58.445 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.444935+00:00', '1766330878362', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', '0.47', '48', '0.48', '100']
2025-12-21 22:27:58.446 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.446040+00:00', '1766330878362', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', '0.52', '100', '0.53', '48']
2025-12-21 22:27:58.474 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.474649+00:00', '1766330878390', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', None, None, None, None]
